original_ibes,new_ibes,new_compustat,original_compustat,new_ibes2,new_compustat2
SPECTRUM PHARMAC,SPECTRUM PHARMAC,SPECTRUM PHARMACEUTICALS,SPECTRUM PHARMACEUTICALS INC,SPECTRUM PHARMAC,SPECTRUM PHARMACEUTICALS
SPIRE INC,SPIRE,SPIRE,SPIRE INC,SPIRE,SPIRE
SPOK HOLDINGS,SPOK,SPOK,SPOK HOLDINGS INC,SPOK HOLDINGS,SPOK HOLDINGS
SPRINT CORP,SPRINT,SPRINT,SPRINT CORP,SPRINT,SPRINT
SPROUTS FARMERS,SPROUTS FARMERS,SPROUTS FARMERS MARKET,SPROUTS FARMERS MARKET,SPROUTS FARMERS,SPROUTS FARMERS MARKET
SPS COMMERCE INC,SPS COMMERCE,SPS COMMERCE,SPS COMMERCE INC,SPS COMMERCE,SPS COMMERCE
SPX CP,SPX CP,SPX,SPX CORP,SPX,SPX
SPX FLOW,SPX FLOW,SPX FLOW,SPX FLOW INC,SPX FLOW,SPX FLOW
SRC ENERGY,SRC ENERGY,SRC ENERGY,SRC ENERGY INC,SRC ENERGY,SRC ENERGY
SS&C TECHNOLOGIE,SS&C TECHNOLOGIE,SS&C TECHNOLOGIES HLDGS,SS&C TECHNOLOGIES HLDGS INC,SSC TECHNOLOGIE,SSC TECHNOLOGY HLDGS
ST JUDE MEDICAL,ST JUDE MEDICAL,ST JUDE MEDICAL,ST JUDE MEDICAL INC,ST JUDE MEDICAL,ST JUDE MEDICAL
ST. JOE CO,ST. JOE CO,ST JOE CO,ST JOE CO,ST JOE,ST JOE
STAGE STORES,STAGE STORES,STAGE STORES,STAGE STORES INC,STAGE STORES,STAGE STORES
STAMPS.COM,STAMPS.COM,STAMPS.COM,STAMPS.COM INC,STAMPSCOM,STAMPSCOM
STAMPS.COM INC,STAMPS.COM,STAMPS.COM,STAMPS.COM INC,STAMPSCOM,STAMPSCOM
STANCORP FINL,STANCORP FINL,STANCORP FINANCIAL GROUP,STANCORP FINANCIAL GROUP INC,STANCORP FINL,STANCORP FINANCIAL GROUP
STANDEX INTERNAT,STANDEX INTERNAT,STANDEX INTERNATIONAL,STANDEX INTERNATIONAL CORP,STANDEX INTERNAT,STANDEX INTERNATIONAL
STANDEX INTL,STANDEX INTL,STANDEX INTERNATIONAL,STANDEX INTERNATIONAL CORP,STANDEX INTERNATIONAL,STANDEX INTERNATIONAL
STANLEY BLACK,STANLEY BLACK,STANLEY BLACK & DECKER,STANLEY BLACK & DECKER INC,STANLEY BLACK,STANLEY BLACK  DECKER
STAPLES,STAPLES,STAPLES,STAPLES INC,STAPLES,STAPLES
STAPLES INC,STAPLES,STAPLES,STAPLES INC,STAPLES,STAPLES
STARBUCKS,STARBUCKS,STARBUCKS,STARBUCKS CORP,STARBUCKS,STARBUCKS
STARBUCKS CORP,STARBUCKS,STARBUCKS,STARBUCKS CORP,STARBUCKS,STARBUCKS
STARWOOD H&R,STARWOOD H&R,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HR,STARWOOD HOTELSRESORTS WRLD
STARWOOD HOTELS,STARWOOD HOTELS,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS,STARWOOD HOTELSRESORTS WRLD
STARZ,STARZ,STARZ,STARZ,STARZ,STARZ
STATE STR,STATE STR,STATE STREET,STATE STREET CORP,STATE STR,STATE STREET
STATE STREET,STATE STREET,STATE STREET,STATE STREET CORP,STATE STREET,STATE STREET
STD MOTOR PRODS,STD MOTOR PRODS,STANDARD MOTOR PRODS,STANDARD MOTOR PRODS,STD MOTOR PRODS,STANDARD MOTOR PRODS
STEEL DYNAMICS,STEEL DYNAMICS,STEEL DYNAMICS,STEEL DYNAMICS INC,STEEL DYNAMICS,STEEL DYNAMICS
STEIN MART INC,STEIN MART,STEIN MART,STEIN MART INC,STEIN MART,STEIN MART
STEPAN COMPANY,STEPAN COMPANY,STEPAN CO,STEPAN CO,STEPAN,STEPAN
STERICYCLE,STERICYCLE,STERICYCLE,STERICYCLE INC,STERICYCLE,STERICYCLE
STERICYCLE INC.,STERICYCLE.,STERICYCLE,STERICYCLE INC,STERICYCLE,STERICYCLE
STERLING BANCORP,STERLING,STERLING,STERLING BANCORP,STERLING BANK,STERLING BANK
STERLING FINL CP,STERLING FINL CP,STERLING FINANCIAL/WA,STERLING FINANCIAL CORP/WA,STERLING FINL,STERLING FINANCIAL CORPWA
STEWART INFO SVC,STEWART INFO SVC,STEWART INFORMATION SERVICES,STEWART INFORMATION SERVICES,STEWART INFO SERVICES,STEWART INFORMATION SERVICES
STIFEL FINL CP,STIFEL FINL CP,STIFEL FINANCIAL,STIFEL FINANCIAL CORP,STIFEL FINL,STIFEL FINANCIAL
STILLWATER MININ,STILLWATER MININ,STILLWATER MINING CO,STILLWATER MINING CO,STILLWATER MININ,STILLWATER MINING
STILLWATER MINNG,STILLWATER MINNG,STILLWATER MINING CO,STILLWATER MINING CO,STILLWATER MINNG,STILLWATER MINING
STOCK BUILDING,STOCK BUILDING,BMC STOCK,BMC STOCK HOLDINGS INC,STOCK BUILDING,BMC STOCK HOLDINGS
STONE ENERGY,STONE ENERGY,STONE ENERGY,STONE ENERGY CORP,STONE ENERGY,STONE ENERGY
STORE CAPITAL,STORE CAPITAL,STORE CAPITAL,STORE CAPITAL CORP,STORE CAPITAL,STORE CAPITAL
STR HOLDINGS INC,STR,STR,STR HOLDINGS INC,STR HOLDINGS,STR HOLDINGS
STRATASY,STRATASY,STRATASYS,STRATASYS LTD,STRATASY,STRATASYS
STRATASYS LTD,STRATASYS,STRATASYS,STRATASYS LTD,STRATASYS,STRATASYS
STRYKER,STRYKER,STRYKER,STRYKER CORP,STRYKER,STRYKER
STRYKER CP,STRYKER CP,STRYKER,STRYKER CORP,STRYKER,STRYKER
STURM RUGER  CO,STURM RUGER  CO,STURM RUGER & CO,STURM RUGER & CO INC,STURM RUGER ,STURM RUGER  CO
STURM RUGER & CO,STURM RUGER & CO,STURM RUGER & CO,STURM RUGER & CO INC,STURM RUGER ,STURM RUGER  CO
SUCAMPO PHARMACE,SUCAMPO PHARMACE,SUCAMPO PHARMACEUTICALS,SUCAMPO PHARMACEUTICALS INC,SUCAMPO PHARMACE,SUCAMPO PHARMACEUTICALS
SUMMIT HOTEL PRO,SUMMIT HOTEL PRO,SUMMIT HOTEL PROPERTIES,SUMMIT HOTEL PROPERTIES INC,SUMMIT HOTEL PRO,SUMMIT HOTEL PROPERTIES
SUNCOKE ENERGY,SUNCOKE ENERGY,SUNCOKE ENERGY,SUNCOKE ENERGY INC,SUNCOKE ENERGY,SUNCOKE ENERGY
SUNEDISON INC,SUNEDISON,SUNEDISON,SUNEDISON INC,SUNEDISON,SUNEDISON
SUNRUN,SUNRUN,SUNRUN,SUNRUN INC,SUNRUN,SUNRUN
SUNTRUST BANKS,SUNTRUST BANKS,SUNTRUST BANKS,SUNTRUST BANKS INC,SUNTRUST BANK,SUNTRUST BANK
SUNTRUST BKS GA,SUNTRUST BKS GA,SUNTRUST BANKS,SUNTRUST BANKS INC,SUNTRUST BKS GA,SUNTRUST BANK
SUPER MICRO COM,SUPER MICRO COM,SUPER MICRO COMPUTER,SUPER MICRO COMPUTER INC,SUPER MICRO COM,SUPER MICRO COMPUTER
SUPERIOR IND,SUPERIOR IND,SUPERIOR INDUSTRIES INTL,SUPERIOR INDUSTRIES INTL,SUPERIOR IND,SUPERIOR INDUSTRIES INTERNATIONAL
SUPERIOR IND INT,SUPERIOR IND INT,SUPERIOR INDUSTRIES INTL,SUPERIOR INDUSTRIES INTL,SUPERIOR IND INT,SUPERIOR INDUSTRIES INTERNATIONAL
SUPERIOR INDS,SUPERIOR INDS,SUPERIOR INDUSTRIES INTL,SUPERIOR INDUSTRIES INTL,SUPERIOR INDS,SUPERIOR INDUSTRIES INTERNATIONAL
SUPERNUS PHARMAC,SUPERNUS PHARMAC,SUPERNUS PHARMACEUTICALS,SUPERNUS PHARMACEUTICALS INC,SUPERNUS PHARMAC,SUPERNUS PHARMACEUTICALS
SUPERVALU,SUPERVALU,SUPERVALU,SUPERVALU INC,SUPERVALU,SUPERVALU
SURGICAL CARE AF,SURGICAL CARE AF,SURGICAL CARE AFFILIATES,SURGICAL CARE AFFILIATES INC,SURGICAL CARE AF,SURGICAL CARE AFFILIATES
SURMODICS,SURMODICS,SURMODICS,SURMODICS INC,SURMODICS,SURMODICS
SURMODICS INC,SURMODICS,SURMODICS,SURMODICS INC,SURMODICS,SURMODICS
SUSQUEHA BCSH PA,SUSQUEHA BCSH PA,SUSQUEHANNA,SUSQUEHANNA BANCSHARES INC,SUSQUEHA BCSH PA,SUSQUEHANNA BANCSHARES
SVB FINANCIAL,SVB FINANCIAL,SVB FINANCIAL GROUP,SVB FINANCIAL GROUP,SVB FINANCIAL,SVB FINANCIAL GROUP
SVB FINANCIAL GR,SVB FINANCIAL GR,SVB FINANCIAL GROUP,SVB FINANCIAL GROUP,SVB FINANCIAL GR,SVB FINANCIAL GROUP
SVC CP INTL,SVC CP INTL,SERVICE INTERNATIONAL,SERVICE CORP INTERNATIONAL,SERVICES CP INTERNATIONAL,SERVICES CORP INTERNATIONAL
SWESTN ENERGY,SWESTN ENERGY,SOUTHWESTERN ENERGY CO,SOUTHWESTERN ENERGY CO,SWESTN ENERGY,SOUTHWESTERN ENERGY
SWM,SWM,SCHWEITZER-MAUDUIT INTL,SCHWEITZER-MAUDUIT INTL INC,SWM,SCHWEITZERMAUDUIT INTERNATIONAL
SWS GROUP INC,SWS GROUP,SWS GROUP,SWS GROUP INC,SWS GROUP,SWS GROUP
SYKES ENTERPRISE,SYKES ENTERPRISE,SYKES ENTERPRISES,SYKES ENTERPRISES INC,SYKES ENTERPRISES,SYKES ENTERPRISES
SYMMETRICOM INC,SYMMETRICOM,SYMMETRICOM,SYMMETRICOM INC,SYMMETRICOM,SYMMETRICOM
SYMMETRY MEDICAL,SYMMETRY MEDICAL,SYMMETRY MEDICAL,SYMMETRY MEDICAL INC,SYMMETRY MEDICAL,SYMMETRY MEDICAL
SYNAPTICS,SYNAPTICS,SYNAPTICS,SYNAPTICS INC,SYNAPTICS,SYNAPTICS
SYNCHRONOSS TECH,SYNCHRONOSS TECH,SYNCHRONOSS TECHNOLOGIES,SYNCHRONOSS TECHNOLOGIES,SYNCHRONOSS TECHNOLOGY,SYNCHRONOSS TECHNOLOGY
SYNCHRONY FIN,SYNCHRONY FIN,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,SYNCHRONY FIN,SYNCHRONY FINANCIAL
SYNCHRONY FINCL,SYNCHRONY FINCL,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,SYNCHRONY FINCL,SYNCHRONY FINANCIAL
SYNEOS HEALTH,SYNEOS HEALTH,SYNEOS HEALTH,SYNEOS HEALTH INC,SYNEOS HEALTH,SYNEOS HEALTH
SYNNEX CORP,SYNNEX,SYNNEX,SYNNEX CORP,SYNNEX,SYNNEX
SYNOPSYS INC,SYNOPSYS,SYNOPSYS,SYNOPSYS INC,SYNOPSYS,SYNOPSYS
SYNOVUS FIN,SYNOVUS FIN,SYNOVUS FINANCIAL,SYNOVUS FINANCIAL CORP,SYNOVUS FIN,SYNOVUS FINANCIAL
SYSCO,SYSCO,SYSCO,SYSCO CORP,SYSCO,SYSCO
SYSCO CP,SYSCO CP,SYSCO,SYSCO CORP,SYSCO,SYSCO
T ROWE GROUP,T ROWE GROUP,PRICE (T. ROWE) GROUP,PRICE (T. ROWE) GROUP,T ROWE GROUP,PRICE T ROWE GROUP
T ROWE PRICE GRP,T ROWE PRICE GRP,PRICE (T. ROWE) GROUP,PRICE (T. ROWE) GROUP,T ROWE PRICE GROUP,PRICE T ROWE GROUP
T-MOBILE US,T-MOBILE US,T-MOBILE US,T-MOBILE US INC,TMOBILE US,TMOBILE US
T-MOBILE US INC,T-MOBILE US,T-MOBILE US,T-MOBILE US INC,TMOBILE US,TMOBILE US
TABULA RASA,TABULA RASA,TABULA RASA HEALTHCARE,TABULA RASA HEALTHCARE INC,TABULA RASA,TABULA RASA HEALTHCARE
TACTILE SYS TECH,TACTILE SYS TECH,TACTILE SYSTEMS TECHNOLOGY,TACTILE SYSTEMS TECHNOLOGY,TACTILE SYS TECHNOLOGY,TACTILE SYSTEMS TECHNOLOGY
TAILORED BRANDS,TAILORED BRANDS,TAILORED BRANDS,TAILORED BRANDS INC,TAILORED BRANDS,TAILORED BRANDS
TAKE TWO,TAKE TWO,TAKE-TWO INTERACTIVE SFTWR,TAKE-TWO INTERACTIVE SFTWR,TAKE TWO,TAKETWO INTERACTIVE SFTWR
TAKE-TWO,TAKE-TWO,TAKE-TWO INTERACTIVE SFTWR,TAKE-TWO INTERACTIVE SFTWR,TAKETWO,TAKETWO INTERACTIVE SFTWR
TAKE-TWO INT SFT,TAKE-TWO INT SFT,TAKE-TWO INTERACTIVE SFTWR,TAKE-TWO INTERACTIVE SFTWR,TAKETWO INT SFT,TAKETWO INTERACTIVE SFTWR
TALEN ENERGY,TALEN ENERGY,TALEN ENERGY,TALEN ENERGY CORP,TALEN ENERGY,TALEN ENERGY
TALMER BANCORP,TALMER,TALMER,TALMER BANCORP INC,TALMER BANK,TALMER BANK
TANGER FACTORY,TANGER FACTORY,TANGER FACTORY OUTLET CTRS,TANGER FACTORY OUTLET CTRS,TANGER FACTORY,TANGER FACTORY OUTLET CTRS
TANGOE INC,TANGOE,TANGOE,TANGOE INC,TANGOE,TANGOE
TAPESTRY,TAPESTRY,TAPESTRY,TAPESTRY INC,TAPESTRY,TAPESTRY
TARGET,TARGET,TARGET,TARGET CORP,TARGET,TARGET
TARGET CORP,TARGET,TARGET,TARGET CORP,TARGET,TARGET
TAUBMAN CENTERS,TAUBMAN CENTERS,TAUBMAN CENTERS,TAUBMAN CENTERS INC,TAUBMAN CENTERS,TAUBMAN CENTERS
TAYLOR CAP,TAYLOR CAP,TAYLOR CAPITAL GROUP,TAYLOR CAPITAL GROUP INC,TAYLOR CAP,TAYLOR CAPITAL GROUP
TAYLOR MORRISON,TAYLOR MORRISON,TAYLOR MORRISON HOME,TAYLOR MORRISON HOME CORP,TAYLOR MORRISON,TAYLOR MORRISON HOME
TD AMERITRADE,TD AMERITRADE,TD AMERITRADE,TD AMERITRADE HOLDING CORP,TD AMERITRADE,TD AMERITRADE HOLDINGS
TDS,TDS,TELEPHONE & DATA SYSTEMS,TELEPHONE & DATA SYSTEMS INC,TDS,TELEPHONE  DATA SYSTEMS
TE CONNECTIV,TE CONNECTIV,TE CONNECTIVITY,TE CONNECTIVITY LTD,TE CONNECTIV,TE CONNECTIVITY
TE CONNECTIVITY,TE CONNECTIVITY,TE CONNECTIVITY,TE CONNECTIVITY LTD,TE CONNECTIVITY,TE CONNECTIVITY
TEAM INC,TEAM,TEAM,TEAM INC,TEAM,TEAM
TECH DATA CP,TECH DATA CP,TECH DATA,TECH DATA CORP,TECHNOLOGY DATA,TECHNOLOGY DATA
TECHNIPFMC,TECHNIPFMC,TECHNIPFMC,TECHNIPFMC PLC,TECHNIPFMC,TECHNIPFMC
TECHTARGET,TECHTARGET,TECHTARGET,TECHTARGET INC,TECHTARGET,TECHTARGET
TECO ENERGY,TECO ENERGY,TECO ENERGY,TECO ENERGY INC,TECO ENERGY,TECO ENERGY
TECO ENERGY INC,TECO ENERGY,TECO ENERGY,TECO ENERGY INC,TECO ENERGY,TECO ENERGY
TEGNA,TEGNA,TEGNA,TEGNA INC,TEGNA,TEGNA
TELE & DATA SYS,TELE & DATA SYS,TELEPHONE & DATA SYSTEMS,TELEPHONE & DATA SYSTEMS INC,TELE  DATA SYS,TELEPHONE  DATA SYSTEMS
TELEDYNE TECH,TELEDYNE TECH,TELEDYNE TECHNOLOGIES,TELEDYNE TECHNOLOGIES INC,TELEDYNE TECHNOLOGY,TELEDYNE TECHNOLOGY
TELEFLEX INC,TELEFLEX,TELEFLEX,TELEFLEX INC,TELEFLEX,TELEFLEX
TELEPHONE  DATA,TELEPHONE  DATA,TELEPHONE & DATA SYSTEMS,TELEPHONE & DATA SYSTEMS INC,TELEPHONE  DATA,TELEPHONE  DATA SYSTEMS
TELEPHONE & DATA,TELEPHONE & DATA,TELEPHONE & DATA SYSTEMS,TELEPHONE & DATA SYSTEMS INC,TELEPHONE  DATA,TELEPHONE  DATA SYSTEMS
TEMPUR SEALY INT,TEMPUR SEALY INT,TEMPUR SEALY INTL,TEMPUR SEALY INTL INC,TEMPUR SEALY INT,TEMPUR SEALY INTERNATIONAL
TEMPUR-PEDIC INT,TEMPUR-PEDIC INT,TEMPUR SEALY INTL,TEMPUR SEALY INTL INC,TEMPURPEDIC INT,TEMPUR SEALY INTERNATIONAL
TENET HEALTHCARE,TENET HEALTHCARE,TENET HEALTHCARE,TENET HEALTHCARE CORP,TENET HEALTHCARE,TENET HEALTHCARE
TENNANT CO,TENNANT CO,TENNANT CO,TENNANT CO,TENNANT,TENNANT
TENNECO,TENNECO,TENNECO,TENNECO INC,TENNECO,TENNECO
TERADATA,TERADATA,TERADATA,TERADATA CORP,TERADATA,TERADATA
TERADYNE,TERADYNE,TERADYNE,TERADYNE INC,TERADYNE,TERADYNE
TERADYNE INC,TERADYNE,TERADYNE,TERADYNE INC,TERADYNE,TERADYNE
TEREX CP,TEREX CP,TEREX,TEREX CORP,TEREX,TEREX
TESCO CORP,TESCO,TESCO,TESCO CORP,TESCO,TESCO
TETRA,TETRA,TETRA TECHNOLOGIES/DE,TETRA TECHNOLOGIES INC/DE,TETRA,TETRA TECHNOLOGY INCDE
TETRA TECH INC,TETRA TECH,TETRA TECH,TETRA TECH INC,TETRA TECHNOLOGY,TETRA TECHNOLOGY
TETRA TECHNOLOGI,TETRA TECHNOLOGI,TETRA TECHNOLOGIES/DE,TETRA TECHNOLOGIES INC/DE,TETRA TECHNOLOGY,TETRA TECHNOLOGY INCDE
TEXAS CAPITAL B,TEXAS CAPITAL B,TEXAS CAPITAL,TEXAS CAPITAL BANCSHARES INC,TEXAS CAPITAL B,TEXAS CAPITAL BANCSHARES
TEXAS CAPITAL BA,TEXAS CAPITAL BA,TEXAS CAPITAL,TEXAS CAPITAL BANCSHARES INC,TEXAS CAPITAL BA,TEXAS CAPITAL BANCSHARES
TEXAS INSTRUMENT,TEXAS INSTRUMENT,TEXAS INSTRUMENTS,TEXAS INSTRUMENTS INC,TEXAS INSTRUMENT,TEXAS INSTRUMENTS
TEXAS ROADHOUSE,TEXAS ROADHOUSE,TEXAS ROADHOUSE,TEXAS ROADHOUSE INC,TEXAS ROADHOUSE,TEXAS ROADHOUSE
TEXTRON,TEXTRON,TEXTRON,TEXTRON INC,TEXTRON,TEXTRON
THE BANK OF NEW,THE BANK OF NEW,BANK OF NEW YORK MELLON,BANK OF NEW YORK MELLON CORP,THE BANK OF NEW,BANK OF NEW YORK MELLON
THERMO FISHER,THERMO FISHER,THERMO FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC INC,THERMO FISHER,THERMO FISHER SCIENTIFIC
THERMO FISHER SC,THERMO FISHER SC,THERMO FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC INC,THERMO FISHER SC,THERMO FISHER SCIENTIFIC
THIRD POINT REIN,THIRD POINT REIN,THIRD POINT REINSURANCE,THIRD POINT REINSURANCE LTD,THIRD POINT REIN,THIRD POINT REINSURANCE
THOR INDS,THOR INDS,THOR INDUSTRIES,THOR INDUSTRIES INC,THOR INDS,THOR INDUSTRIES
THOR INDS INC,THOR INDS,THOR INDUSTRIES,THOR INDUSTRIES INC,THOR INDS,THOR INDUSTRIES
THORATEC CORP,THORATEC,THORATEC,THORATEC CORP,THORATEC,THORATEC
THREE-D SYSTEMS,THREE-D SYSTEMS,3D SYSTEMS,3D SYSTEMS CORP,THREED SYSTEMS,3D SYSTEMS
TIBCO SOFTWARE,TIBCO SOFTWARE,TIBCO SOFTWARE,TIBCO SOFTWARE INC,TIBCO SOFTWARE,TIBCO SOFTWARE
TIDEWATER INC,TIDEWATER,TIDEWATER,TIDEWATER INC,TIDEWATER,TIDEWATER
TIFFANY,TIFFANY,TIFFANY & CO,TIFFANY & CO,TIFFANY,TIFFANY 
TIFFANY AND COMP,TIFFANY AND COMP,TIFFANY & CO,TIFFANY & CO,TIFFANY   COMP,TIFFANY 
TILE SHOP HOLDIN,TILE SHOP HOLDIN,TILE SHOP,TILE SHOP HOLDINGS INC,TILE SHOP HOLDIN,TILE SHOP HOLDINGS
TIM WRN CAB,TIM WRN CAB,TIME WARNER CABLE,TIME WARNER CABLE INC,TIM WRN CAB,TIME WARNER CABLE
TIME,TIME,TIME,TIME INC,TIME,TIME
TIME US,TIME US,TIME,TIME INC,TIME US,TIME
TIME WARNER,TIME WARNER,TIME WARNER,TIME WARNER INC,TIME WARNER,TIME WARNER
TIME WARNER INC,TIME WARNER,TIME WARNER,TIME WARNER INC,TIME WARNER,TIME WARNER
TIME WARNER CABL,TIME WARNER CABL,TIME WARNER CABLE,TIME WARNER CABLE INC,TIME WARNER CABL,TIME WARNER CABLE
TIMKEN CO,TIMKEN CO,TIMKEN CO,TIMKEN CO,TIMKEN,TIMKEN
TIMKENSTEEL,TIMKENSTEEL,TIMKENSTEEL,TIMKENSTEEL CORP,TIMKENSTEEL,TIMKENSTEEL
TITAN INTL,TITAN INTL,TITAN INTERNATIONAL,TITAN INTERNATIONAL INC,TITAN INTERNATIONAL,TITAN INTERNATIONAL
TITAN INTL INC,TITAN INTL,TITAN INTERNATIONAL,TITAN INTERNATIONAL INC,TITAN INTERNATIONAL,TITAN INTERNATIONAL
TIVITY HEALTH,TIVITY HEALTH,TIVITY HEALTH,TIVITY HEALTH INC,TIVITY HEALTH,TIVITY HEALTH
TIVO,TIVO,TIVO,TIVO CORP,TIVO,TIVO
TJX,TJX,TJX COS (THE),TJX COS INC (THE),TJX,TJX COS INC THE
TJX COS INC,TJX,TJX COS (THE),TJX COS INC (THE),TJX COS,TJX COS INC THE
TJX COMPANIES,TJX COMPANIES,TJX COS (THE),TJX COS INC (THE),TJX,TJX COS INC THE
TMOBILE US,TMOBILE US,T-MOBILE US,T-MOBILE US INC,TMOBILE US,TMOBILE US
TOLL BROTHERS IN,TOLL BROTHERS IN,TOLL BROTHERS,TOLL BROTHERS INC,TOLL BROTHERS IN,TOLL BROTHERS
TOMPKINS FINANCI,TOMPKINS FINANCI,TOMPKINS FINANCIAL,TOMPKINS FINANCIAL CORP,TOMPKINS FINANCI,TOMPKINS FINANCIAL
TOOTSIE ROLL,TOOTSIE ROLL,TOOTSIE ROLL INDUSTRIES,TOOTSIE ROLL INDUSTRIES INC,TOOTSIE ROLL,TOOTSIE ROLL INDUSTRIES
TOPBUILD,TOPBUILD,TOPBUILD,TOPBUILD CORP,TOPBUILD,TOPBUILD
TORO CO,TORO CO,TORO CO,TORO CO,TORO,TORO
TOTAL SYSTEM SVC,TOTAL SYSTEM SVC,TOTAL SYSTEM SERVICES,TOTAL SYSTEM SERVICES INC,TOTAL SYSTEMS SERVICES,TOTAL SYSTEMS SERVICES
TOWER GROUP,TOWER GROUP,TOWER GROUP INTL,TOWER GROUP INTL LTD,TOWER GROUP,TOWER GROUP INTERNATIONAL
TOWERS WATSON,TOWERS WATSON,TOWERS WATSON & CO,TOWERS WATSON & CO,TOWERS WATSON,TOWERS WATSON 
TRACTOR SUPPLY,TRACTOR SUPPLY,TRACTOR SUPPLY CO,TRACTOR SUPPLY CO,TRACTOR SUPPLY,TRACTOR SUPPLY
TRANSDIGM GROUP,TRANSDIGM GROUP,TRANSDIGM GROUP,TRANSDIGM GROUP INC,TRANSDIGM GROUP,TRANSDIGM GROUP
TRANSOCEA,TRANSOCEA,TRANSOCEAN,TRANSOCEAN LTD,TRANSOCEA,TRANSOCEAN
TRANSOCEAN,TRANSOCEAN,TRANSOCEAN,TRANSOCEAN LTD,TRANSOCEAN,TRANSOCEAN
TRANSOCEAN LTD,TRANSOCEAN,TRANSOCEAN,TRANSOCEAN LTD,TRANSOCEAN,TRANSOCEAN
TRANSOCN,TRANSOCN,TRANSOCEAN,TRANSOCEAN LTD,TRANSOCN,TRANSOCEAN
TRAVELERS,TRAVELERS,TRAVELERS,TRAVELERS COS INC,TRAVELERS,TRAVELERS COS
TRAVELERS COS IN,TRAVELERS COS IN,TRAVELERS,TRAVELERS COS INC,TRAVELERS COS IN,TRAVELERS COS
TRAVELPORT WRLD,TRAVELPORT WRLD,TRAVELPORT WORLDWIDE,TRAVELPORT WORLDWIDE LTD,TRAVELPORT WRLD,TRAVELPORT WORLDWIDE
TREDEGAR CORP,TREDEGAR,TREDEGAR,TREDEGAR CORP,TREDEGAR,TREDEGAR
TREEHOUSE FOODS,TREEHOUSE FOODS,TREEHOUSE FOODS,TREEHOUSE FOODS INC,TREEHOUSE FOODS,TREEHOUSE FOODS
TREX CO,TREX CO,TREX CO,TREX CO INC,TREX,TREX CO
TREX COMPANY INC,TREX COMPANY,TREX CO,TREX CO INC,TREX CO,TREX CO
TRI POINTE GROUP,TRI POINTE GROUP,TRI POINTE GROUP,TRI POINTE GROUP INC,TRI POINTE GROUP,TRI POINTE GROUP
TRI POINTE HOMES,TRI POINTE HOMES,TRI POINTE GROUP,TRI POINTE GROUP INC,TRI POINTE HOMES,TRI POINTE GROUP
TRIBUNE CO,TRIBUNE CO,TRIBUNE MEDIA CO,TRIBUNE MEDIA CO,TRIBUNE,TRIBUNE MEDIA
TRIBUNE MEDIA,TRIBUNE MEDIA,TRIBUNE MEDIA CO,TRIBUNE MEDIA CO,TRIBUNE MEDIA,TRIBUNE MEDIA
TRIMBLE,TRIMBLE,TRIMBLE,TRIMBLE INC,TRIMBLE,TRIMBLE
TRIMBLE NAVIGATI,TRIMBLE NAVIGATI,TRIMBLE,TRIMBLE INC,TRIMBLE NAVIGATI,TRIMBLE
TRINITY INDS,TRINITY INDS,TRINITY INDUSTRIES,TRINITY INDUSTRIES,TRINITY INDS,TRINITY INDUSTRIES
TRINITY INDU,TRINITY INDU,TRINITY INDUSTRIES,TRINITY INDUSTRIES,TRINITY INDU,TRINITY INDUSTRIES
TRINSEO,TRINSEO,TRINSEO SA,TRINSEO SA,TRINSEO,TRINSEO SA
TRINSEO SA,TRINSEO SA,TRINSEO SA,TRINSEO SA,TRINSEO SA,TRINSEO SA
TRIPADVISOR,TRIPADVISOR,TRIPADVISOR,TRIPADVISOR INC,TRIPADVISOR,TRIPADVISOR
TRIPADVISOR INC,TRIPADVISOR,TRIPADVISOR,TRIPADVISOR INC,TRIPADVISOR,TRIPADVISOR
TRIQUINT SEMICON,TRIQUINT SEMICON,TRIQUINT SEMICONDUCTOR,TRIQUINT SEMICONDUCTOR INC,TRIQUINT SEMICON,TRIQUINT SEMICONDUCTOR
TRIUMPH BANCORP,TRIUMPH,TRIUMPH,TRIUMPH BANCORP INC,TRIUMPH BANK,TRIUMPH BANK
TRIUMPH GP INC,TRIUMPH GP,TRIUMPH GROUP,TRIUMPH GROUP INC,TRIUMPH GP,TRIUMPH GROUP
TRUEBLUE INC,TRUEBLUE,TRUEBLUE,TRUEBLUE INC,TRUEBLUE,TRUEBLUE
TRUSTCO BK CP NY,TRUSTCO BK CP NY,TRUSTCO BANK/NY,TRUSTCO BANK CORP/NY,TRUSTCO BK CP NY,TRUSTCO BANK CORPNY
TRUSTMARK CP,TRUSTMARK CP,TRUSTMARK,TRUSTMARK CORP,TRUSTMARK,TRUSTMARK
TSYS,TSYS,TOTAL SYSTEM SERVICES,TOTAL SYSTEM SERVICES INC,TSYS,TOTAL SYSTEMS SERVICES
